plan_id,name,metal_tier,monthly_premium,deductible,oop_max,coinsurance_rate,pcp_copay,effective_year
PLN0001,LightGray Silver 2025,Silver,563.83,3500,7100,0.3,35,2025
PLN0002,FireBrick Silver 2025,Silver,417.28,3650,8000,0.3,35,2025
PLN0003,MintCream Gold 2025,Gold,886.79,2350,4750,0.2,25,2025
PLN0004,SteelBlue Gold 2025,Gold,845.31,1450,3250,0.2,25,2025
PLN0005,DeepSkyBlue Bronze 2025,Bronze,336.2,7700,9500,0.4,45,2025
PLN0006,CornflowerBlue Gold 2025,Gold,867.54,2450,4250,0.2,25,2025
PLN0007,HoneyDew Gold 2025,Gold,863.14,1200,4900,0.2,25,2025
PLN0008,LightPink Bronze 2025,Bronze,449.87,6650,8600,0.4,45,2025
PLN0009,MistyRose Bronze 2025,Bronze,333.76,7050,8000,0.4,45,2025
PLN0010,LightSlateGray Gold 2025,Gold,821.61,2150,4800,0.2,25,2025
PLN0011,DarkBlue Silver 2025,Silver,454.7,4500,7000,0.3,35,2025
PLN0012,BurlyWood Silver 2025,Silver,468.51,4800,7450,0.3,35,2025
PLN0013,LawnGreen Silver 2025,Silver,407.58,4600,6750,0.3,35,2025
PLN0014,HotPink Silver 2025,Silver,486.71,3000,6200,0.3,35,2025
PLN0015,YellowGreen Bronze 2025,Bronze,371.87,6600,9350,0.4,45,2025
PLN0016,OrangeRed Bronze 2025,Bronze,437.32,6900,8250,0.4,45,2025
PLN0017,Gold Bronze 2025,Bronze,417.55,7250,8250,0.4,45,2025
PLN0018,DarkCyan Bronze 2025,Bronze,387.5,7200,8700,0.4,45,2025
PLN0019,DarkViolet Bronze 2025,Bronze,356.75,6250,9200,0.4,45,2025
PLN0020,LimeGreen Bronze 2025,Bronze,361.69,6200,9500,0.4,45,2025
